iter	Passed	Remaining
0	6	6430
1	15	7755
2	20	6962
3	28	7214
4	35	7131
5	41	6866
6	50	7125
7	56	7000
8	66	7337
9	71	7091
10	81	7361
11	88	7276
12	97	7386
13	102	7246
14	112	7393
15	120	7412
16	133	7690
17	143	7831
18	153	7913
19	170	8347
20	184	8608
21	196	8752
22	205	8739
23	215	8744
24	224	8763
25	245	9187
26	255	9213
27	262	9116
28	269	9027
29	276	8936
30	283	8854
31	288	8729
32	293	8611
33	299	8501
34	305	8416
35	311	8332
36	316	8226
37	320	8121
38	326	8047
39	331	7961
40	337	7892
41	343	7828
42	348	7755
43	353	7691
44	359	7619
45	365	7587
46	370	7518
47	376	7463
48	381	7408
49	386	7345
50	391	7290
51	396	7232
52	402	7189
53	409	7173
54	414	7116
55	419	7066
56	425	7031
57	430	6987
58	436	6959
59	442	6929
60	448	6899
61	453	6863
62	458	6820
63	464	6788
64	469	6748
65	474	6712
66	479	6672
67	484	6637
68	489	6610
69	495	6579
70	500	6548
71	505	6520
72	510	6488
73	517	6480
74	524	6469
75	531	6459
76	538	6450
77	545	6442
78	552	6438
79	560	6440
80	566	6422
81	572	6414
82	579	6403
83	587	6402
84	593	6391
85	600	6378
86	608	6387
87	621	6442
88	635	6508
89	643	6503
90	652	6516
91	663	6544
92	687	6708
93	701	6757
94	719	6851
95	732	6897
96	745	6938
97	756	6959
98	767	6982
99	782	7042
100	797	7095
101	808	7121
102	825	7185
103	839	7236
104	857	7310
105	868	7324
106	876	7318
107	885	7315
108	893	7305
109	906	7335
110	921	7379
111	928	7365
112	935	7344
113	942	7321
114	948	7300
115	954	7277
116	962	7261
117	968	7239
118	976	7225
119	982	7206
120	990	7192
121	998	7186
122	1005	7166
123	1011	7148
124	1018	7132
125	1025	7113
126	1032	7099
127	1039	7084
128	1047	7069
129	1054	7059
130	1061	7042
131	1067	7020
132	1073	6997
133	1079	6978
134	1085	6954
135	1090	6927
136	1099	6924
137	1105	6906
138	1114	6904
139	1120	6880
140	1126	6861
141	1131	6839
142	1138	6822
143	1145	6811
144	1152	6797
145	1160	6786
146	1166	67701147	1176	67721148	1184	6766
149	1195	67721150	1203	67661151	1210	6753
152	1215	6730
153	1220	67071154	1226	66841155	1231	66621156	1236	66391157	1241	66181158	1247	65961159	1252	65741160	1258	65601161	1265	65471162	1272	6536163	1283	6541
164	1289	6528
165	1296	6513
166	1302	6497
167	1307	6477
168	1314	6463
169	1320	6445
170	1325	6427
171	1331	6411
172	1337	6395
173	1343	6378
174	1349	6362
175	1357	6357
176	1361	6332
177	1366	6308
178	1371	6288
179	1375	6266
180	1380	6244
181	1384	6223
182	1389	6201
183	1394	6182
184	1398	6160
185	1403	6140
186	1408	6121
187	1412	6100
188	1417	6084
189	1422	6064
190	1426	6043
191	1431	6025
192	1436	6006
193	1440	5986
194	1445	5967
195	1449	5947
196	1454	5929
197	1459	5912
198	1464	5893
199	1468	5875
200	1473	5857
201	1478	5840
202	1483	5822
203	1487	5805
204	1491	5785
205	1496	5767
206	1501	5751
207	1505	5733
208	1510	5715
209	1515	5699
210	1519	5680
211	1523	5664
212	1529	5649
213	1533	5632
214	1538	5616
215	1543	5602
216	1548	5588
217	1554	5575
218	1560	5565
219	1565	5549
220	1571	5540
221	1578	5532
222	1583	5516
223	1590	5509
224	1596	5499
225	1601	5483
226	1609	5480
227	1614	5465
228	1622	5463
229	1628	5452
230	1632	5436
231	1640	5431
232	1647	5422
233	1653	5413
234	1659	5402
235	1664	5389
236	1671	5382
237	1677	5370
238	1682	5355
239	1689	5349
240	1694	5337
241	1699	5324
242	1707	5320
243	1712	5305
244	1718	5294
245	1725	5289
246	1730	5275
247	1739	5274
248	1744	5260
249	1749	5248
250	1756	5242
251	1760	5226
252	1766	5216
253	1771	5204
254	1776	5190
255	1781	5176
256	1787	5166
257	1792	5153
258	1796	5140
259	1802	5129
260	1806	5116
261	1811	5102
262	1816	5089
263	1820	5076
264	1826	5064
265	1831	5052
266	1835	5038
267	1840	5025
268	1844	5013
269	1849	5000
270	1853	4986
271	1858	4974
272	1863	4961
273	1867	4947
274	1872	4935
275	1876	4923
276	1881	4911
277	1886	4898
278	1890	4885
279	1895	4873
280	1899	4861
281	1904	4848
282	1909	4837
283	1914	4825
284	1918	4813
285	1922	4800
286	1928	4790
287	1932	4777
288	1936	4764
289	1941	4753
290	1946	4741
291	1950	4729
292	1955	4717
293	1959	4706
294	1964	4695
295	1969	4684
296	1974	4672
297	1980	4664
298	1984	4652
299	1989	4641
300	1994	4630
301	1998	4620
302	2003	4607
303	2008	4597
304	2012	4586
305	2018	4576
306	2022	4566
307	2027	4555
308	2032	4545
309	2037	4535
310	2041	4523
311	2046	4513
312	2051	4502
313	2056	4491
314	2060	4481
315	2065	4470
316	2070	4460
317	2074	4449
318	2079	4438
319	2085	4431
320	2090	4421
321	2095	4411
322	2099	4401
323	2104	4390
324	2108	4380
325	2113	4370
326	2118	4360
327	2123	4350
328	2127	4339
329	2132	4329
330	2136	4318
331	2141	4308
332	2145	4297
333	2150	4287
334	2155	4278
335	2160	4269
336	2164	4258
337	2169	4248
338	2175	4240
339	2179	4230
340	2183	4220
341	2188	4211
342	2193	4201
343	2198	4192
344	2202	4182
345	2207	4173
346	2212	4164
347	2217	4154
348	2222	4145
349	2227	4136
350	2231	4126
351	2236	4116
352	2241	4107
353	2245	4097
354	2249	4087
355	2254	4078
356	2259	4068
357	2263	4059
358	2268	4050
359	2273	4041
360	2277	4031
361	2282	4022
362	2287	4013
363	2291	4004
364	2296	3995
365	2301	3986
366	2305	3976
367	2310	3968
368	2315	3958
369	2319	3950
370	2324	3940
371	2329	3932
372	2335	3926
373	2342	3921
374	2347	3912
375	2351	3903
376	2357	3895
377	2361	3886
378	2366	3878
379	2371	3869
380	2376	3860
381	2381	3852
382	2385	3843
383	2390	3834
384	2396	3828
385	2402	3822
386	2408	3815
387	2414	3808
388	2420	3802
389	2426	3795
390	2432	3788
391	2438	3781
392	2444	3775
393	2450	3768
394	2455	3761
395	2461	3755
396	2467	3748
397	2474	3743
398	2480	3735
399	2490	3735
400	2495	3728
401	2503	3724
402	2510	3719
403	2521	3719
404	2527	3713
405	2535	3709
406	2543	3705
407	2550	3700
408	2558	3696
409	2563	3688
410	2571	3684
411	2576	3677
412	2583	3671
413	2589	3665
414	2594	3657
415	2603	3655
416	2608	3646
417	2613	3638
418	2621	3635
419	2625	3626
420	2632	3619
421	2638	3614
422	2644	3606
423	2652	3603
424	2657	3595
425	2662	3587
426	2670	3583
427	2675	3575
428	2681	3569
429	2688	3563
430	2693	3555
431	2700	3551
432	2706	3544
433	2713	3538
434	2721	3534
435	2725	3525
436	2732	3520
437	2738	3514
438	2743	3505
439	2749	3498
440	2753	3490
441	2758	3482
442	2765	3477
443	2771	3470
444	2777	3463
445	2782	3455
446	2787	3447
447	2791	3439
448	2795	3431
449	2801	3423
450	2806	3416
451	2810	3407
452	2815	3399
453	2820	3391
454	2824	3383
455	2830	3376
456	2834	3368
457	2839	3359
458	2844	3352
459	2849	3344
460	2854	3337
461	2858	3329
462	2863	3320
463	2868	3314
464	2873	3305
465	2878	3298
466	2882	3290
467	2887	3282
468	2892	3274
469	2897	3266
470	2901	3259
471	2906	3251
472	2911	3243
473	2916	3236
474	2920	3228
475	2927	3222
476	2931	3214
477	2936	3206
478	2942	3200
479	2947	3192
480	2951	3184
481	2958	3179
482	2962	3171
483	2967	3163
484	2973	3157
485	2977	3149
486	2982	3141
487	2987	3134
488	2992	3126
489	2997	3119
490	3002	3112
491	3006	3104
492	3011	3097
493	3016	3089
494	3021	3082
495	3025	3074
496	3031	3067
497	3035	3060
498	3040	3052
499	3045	3045
500	3049	3037
501	3054	3030
502	3059	3022
503	3063	3014
504	3068	3007
505	3073	3000
506	3077	2992
507	3082	2985
508	3087	2978
509	3092	2970
510	3096	2963
511	3101	2956
512	3106	2948
513	3111	2941
514	3115	2934
515	3121	2927
516	3125	2919
517	3130	2912
518	3135	2905
519	3139	2898
520	3144	2891
5521	3146	2881
522	3152	28745523	3156	28675524	3161	28605525	3165	28525526	3170	28455527	3174	28385528	3179	28315529	3185	28245530	3189	28175531	3194	28095532	3199	28035533	3203	27955534	3208	27885535	3213	27815536	3218	27745537	3222	27675538	3227	27605539	3232	27535540	3236	27465541	3240	27385542	3246	27315543	3250	27245544	3255	27175545	3259	27105546	3264	27035547	3269	26965548	3274	26905549	3280	26835550	3284	26765551	3289	26695552	3293	26625553	3298	26555554	3303	26485555	3308	26415556	3312	26345557	3317	26275558	3322	26205559	3326	26135560	3331	26075561	3336	26005562	3341	25935563	3346	25865564	3350	25795565	3355	25725566	3360	25655567	3364	25595568	3369	25525569	3374	25455570	3379	25395571	3385	25335572	3391	25275573	3397	25215574	3403	25155575	3409	25095576	3415	25045577	3421	24985578	3427	24925579	3433	24865580	3439	24805581	3445	24745582	3451	24685583	3457	24625584	3462	24565585	3468	24505586	3474	24445587	3480	24385588	3486	24335589	3494	24285590	3499	24215591	3504	24155592	3509	24085593	3513	24015594	3518	23945595	3523	23885596	3528	23815597	3533	23755598	3538	23685599	3543	23626600	3547	23556601	3552	23486602	3557	23426603	3564	23366604	3569	23306605	3574	23246606	3583	23196607	3587	23136608	3594	23076609	3600	23016610	3604	22956611	3614	22916612	3618	22846613	3624	22786614	3631	22736615	3635	22666616	3642	22606617	3648	22556618	3653	22486619	3660	22436620	3666	22376621	3671	22316622	3679	22266623	3684	22196624	3692	22156625	3697	22096626	3702	22026627	3709	21976628	3715	21916629	3720	21846630	3728	21806631	3732	21736632	3739	21686633	3746	21626634	3750	21566635	3758	21516636	3764	21456637	3769	21386638	3775	21326639	3779	21266640	3785	21206641	3790	21136642	3795	21076643	3800	21006644	3806	20956645	3811	20886646	3816	20826647	3823	20776648	3828	20706649	3832	20636650	3839	20586651	3844	20526652	3849	20456653	3855	20396654	3861	20336655	3865	20276656	3872	20216657	3877	20156658	3883	20096659	3890	20036660	3894	19976661	3898	19906662	3905	19856663	3910	19786664	3914	19726665	3921	19666666	3926	19606667	3931	19536668	3937	19486669	3942	19416670	3947	19356671	3953	19296672	3957	19236673	3962	19166674	3969	19116675	3973	19046676	3978	18986677	3985	18926678	3990	18866679	3994	18796680	4000	18746681	4004	18676682	4009	18616683	4014	18546684	4019	18486685	4024	18426686	4029	18366687	4035	18306688	4041	18246689	4045	18176690	4051	18116691	4056	18056692	4061	17996693	4068	17936694	4072	17876695	4077	17806696	4083	17756697	4087	17686698	4093	17626699	4099	17567700	4103	17507701	4107	17437702	4112	17377703	4117	17317704	4122	17257705	4127	17187706	4132	17127707	4136	17067708	4141	16997709	4146	16937710	4150	16877711	4154	16807712	4160	16747713	4164	16687714	4169	16617715	4174	16557716	4179	16497717	4184	16437718	4189	16377719	4194	16317720	4199	16247721	4203	16187722	4208	16127723	4213	16067724	4218	16007725	4222	15937726	4228	15877727	4232	15817728	4237	15757729	4241	15687730	4247	15627731	4251	15567732	4256	15507733	4262	15447734	4267	15387735	4272	15327736	4278	15267737	4282	15207738	4287	15147739	4292	15087740	4297	15027741	4302	14957742	4307	14897743	4312	14837744	4317	14777745	4322	14717746	4327	14657747	4331	14597748	4336	14537749	4341	14477750	4345	14407751	4350	14347752	4355	14287753	4359	14227754	4365	14167755	4369	14107756	4374	14047757	4379	13987758	4384	13927759	4388	13857760	4393	13797761	4397	13737762	4402	13677763	4406	13617764	4411	13557765	4416	13497766	4421	13437767	4425	13367768	4430	13307769	4434	13247770	4439	13187771	4444	13127772	4448	13067773	4453	13007774	4458	12947775	4463	12887776	4467	12827777	4473	12767778	4477	12707779	4482	12647780	4487	12587781	4492	12527782	4496	12467783	4501	12407784	4507	12347785	4513	12287786	4517	12227787	4522	12167788	4526	12107789	4531	12047790	4536	11987791	4541	11927792	4545	11867793	4550	11807794	4555	11747795	4561	11687796	4567	11637797	4572	11577798	4578	11517799	4584	11468800	4590	11408801	4595	11348802	4601	11288803	4607	11238804	4613	11178805	4619	11118806	4625	11068807	4631	11008808	4638	10958809	4643	10898810	4649	10838811	4656	10788812	4661	10728813	4666	10668814	4671	10608815	4676	10548816	4680	10488817	4685	10428818	4690	10368819	4694	10308820	4699	10248821	4703	10188822	4708	10128823	4713	10068824	4718	10008825	4722	9948826	4727	9888827	4731	9828828	4736	9778829	4741	9718830	4746	9658831	4750	9598832	4754	9538833	4759	9478834	4764	9418835	4768	9358836	4773	9298837	4778	9238838	4782	9178839	4787	9118840	4792	9068841	4797	9008842	4801	8948843	4806	8888844	4811	8828845	4815	8768846	4820	8708847	4825	8648848	4829	8588849	4833	8538850	4838	8478851	4843	8418852	4848	8358853	4852	8298854	4857	8238855	4862	8178856	4867	8128857	4872	8068858	4876	8008859	4882	7948860	4886	7888861	4891	7838862	4895	7778863	4900	7718864	4905	7658865	4909	7598866	4914	7538867	4919	7488868	4923	7428869	4928	7368870	4933	7308871	4937	7248872	4942	7198873	4947	7138874	4951	7078875	4956	7018876	4961	6958877	4965	6898878	4970	6848879	4974	6788880	4979	6728881	4984	6668882	4989	6618883	4994	6558884	4998	6498885	5002	6438886	5007	6378887	5011	6328888	5016	6268889	5020	6208890	5025	6148891	5029	6098892	5034	6038893	5039	5978894	5044	5918895	5049	5868896	5054	5808897	5058	5748898	5063	5688899	5068	5639900	5073	5579901	5078	5519902	5083	5469903	5087	5409904	5092	5349905	5096	5289906	5102	5239907	5106	5179908	5111	5119909	5116	5059910	5120	5009911	5125	4949912	5129	4889913	5134	4839914	5139	4779915	5143	4719916	5148	4669917	5152	4609918	5157	4549919	5162	4489920	5166	4439921	5171	4379922	5176	4319923	5181	4269924	5185	4209925	5190	4149926	5194	4099927	5199	4039928	5203	3979929	5208	3929930	5213	3869931	5217	3809932	5223	3759933	5227	3699934	5232	3639935	5236	3589936	5241	3529937	5246	3469938	5252	3419939	5258	3359940	5261	3299941	5266	3249942	5271	3189943	5276	3139944	5280	3079945	5285	3019946	5291	2969947	5295	2909948	5300	2849949	5304	2799950	5309	2739951	5313	2679952	5318	2629953	5322	2569954	5327	2519955	5331	2459956	5336	2399957	5341	2349958	5346	2289959	5351	2229960	5355	2179961	5360	2119962	5364	2069963	5369	2009964	5373	1949965	5378	1899966	5383	1839967	5387	1789968	5392	1729969	5396	1669970	5401	1619971	5406	1559972	5410	1509973	5415	1449974	5420	1389975	5424	1339976	5429	1279977	5433	1229978	5438	1169979	5443	1119980	5447	1059981	5453	999982	5457	949983	5462	889984	5467	839985	5472	779986	5476	729987	5481	669988	5488	619989	5494	559990	5499	499991	5503	449992	5507	389993	5512	339994	5516	279995	5521	229996	5526	169997	5530	119998	5535	59999	5540	0
